,t,Q,T
6170,0.0,5.0,34.0
6171,1.0,5.0,33.0
6172,2.0,5.0,33.0
6173,3.0,5.0,33.0
6174,4.0,5.0,33.0
6175,5.0,5.0,33.0
6176,6.0,5.0,34.0
6177,7.0,5.0,33.0
6178,8.0,5.0,33.0
6179,9.0,5.0,34.0
6180,10.0,5.0,34.0
6181,11.0,5.0,34.0
6182,12.0,5.0,34.0
6183,13.0,5.0,34.0
6184,14.0,5.0,34.0
6185,15.0,5.0,34.0
6186,16.0,5.0,34.0
6187,17.0,5.0,34.0
6188,18.0,5.0,34.0
6189,19.0,5.0,34.0
6190,20.0,5.0,34.0
6191,21.0,5.0,34.0
6192,22.0,5.0,35.0
6193,23.0,5.0,34.0
6194,24.0,5.0,35.0
6195,25.0,5.0,35.0
6196,26.0,5.0,35.0
6197,27.0,5.0,35.0
6198,28.0,5.0,35.0
6199,29.0,5.0,35.0
6200,30.0,5.0,35.0
6201,31.0,5.0,36.0
6202,32.0,5.0,35.0
6203,33.0,5.0,35.0
6204,34.0,5.0,35.0
6205,35.0,5.0,35.0
6206,36.0,5.0,35.0
6207,37.0,5.0,36.0
6208,38.0,5.0,35.0
6209,39.0,5.0,36.0
6210,40.0,5.0,36.0
6211,41.0,5.0,36.0
6212,42.0,5.0,36.0
6213,43.0,5.0,37.0
6214,44.0,5.0,36.0
6215,45.0,5.0,37.0
6216,46.0,5.0,36.0
6217,47.0,5.0,37.0
6218,48.0,5.0,36.0
6219,49.0,5.0,37.0
6220,50.0,5.0,36.0
6221,51.0,5.0,37.0
6222,52.0,5.0,37.0
6223,53.0,5.0,37.0
6224,54.0,5.0,38.0
6225,55.0,5.0,37.0
6226,56.0,5.0,37.0
6227,57.0,5.0,38.0
6228,58.0,5.0,38.0
6229,59.0,5.0,37.0
6230,60.0,5.0,38.0
6231,61.0,5.0,38.0
6232,62.0,5.0,38.0
6233,63.0,5.0,38.0
6234,64.0,5.0,38.0
6235,65.0,5.0,38.0
6236,66.0,5.0,38.0
6237,67.0,5.0,39.0
6238,68.0,5.0,39.0
6239,69.0,5.0,39.0
6240,70.0,5.0,39.0
6241,71.0,5.0,39.0
6242,72.0,5.0,39.0
6243,73.0,5.0,39.0
6244,74.0,5.0,39.0
6245,75.0,5.0,39.0
6246,76.0,5.0,39.0
6247,77.0,5.0,39.0
6248,78.0,5.0,39.0
6249,79.0,5.0,40.0
6250,80.0,5.0,39.0
6251,81.0,5.0,40.0
6252,82.0,5.0,40.0
6253,83.0,5.0,40.0
6254,84.0,5.0,40.0
6255,85.0,5.0,40.0
6256,86.0,5.0,41.0
6257,87.0,5.0,40.0
6258,88.0,5.0,40.0
6259,89.0,5.0,40.0
6260,90.0,5.0,41.0
6261,91.0,5.0,41.0
6262,92.0,5.0,41.0
6263,93.0,5.0,41.0
6264,94.0,5.0,41.0
6265,95.0,5.0,41.0
6266,96.0,5.0,42.0
6267,97.0,5.0,41.0
6268,98.0,5.0,42.0
6269,99.0,5.0,42.0
6270,100.0,5.0,42.0
6271,101.0,5.0,42.0
6272,102.0,5.0,42.0
6273,103.0,5.0,42.0
6274,104.0,5.0,42.0
