,t,TG,DG,MG,G,ME,T
0,0.0,0.61911421,0.040004937,0.000394678,0.0,0.0,33.71210479736328
1,0.5,0.614728094197117,0.04399421131126848,0.0007844182414464154,7.1012501680565705e-06,0.004790058544665484,33.778777861737595
2,1.0,0.6102541459098461,0.048023673290123595,0.0012166753346364567,1.9330465393896285e-05,0.0097207223555782,33.84541079545396
3,1.5,0.60569901934517,0.052084986218748686,0.0016924777415803784,3.734169450089326e-05,0.014787673785412127,33.912004925047626
4,2.0,0.6010695292066096,0.05616982889923559,0.0022126547350468173,6.18121591079135e-05,0.019986281846652965,33.97856165536453
5,2.5,0.5963717854982711,0.06027068248202345,0.002777915534255187,9.34414854501878e-05,0.025312545006884388,34.0450821800491
6,3.0,0.5916109352136282,0.0643810371914378,0.0033889001377714802,0.00013295245716243433,0.03076340183846806,34.11156738662225
7,3.5,0.58679139770207,0.06849515233085834,0.004046183788025354,0.00018109117904622287,0.036336500444047716,34.17801792767287
8,4.0,0.5819172064037613,0.07260773458405909,0.004750258015494745,0.00023862599668473386,0.042029835605102775,34.24443433239124
9,4.5,0.576992375176577,0.07671361224376114,0.0055014930356571,0.00030634454400467167,0.047841338947089355,34.310817132340695
10,5.0,0.5720210996190987,0.08080756858345386,0.006300107016156197,0.00038504978129108667,0.053768638959639514,34.37716693502216
11,5.5,0.5670077033301715,0.08488440006196533,0.007146164782783453,0.0004755568250796698,0.05980910710277125,34.4434844096359
12,6.0,0.5619565209858296,0.08893902404622671,0.008039589425999673,0.000578690541943956,0.06595998152405792,34.50977024911268
13,6.5,0.5568716583405098,0.09296668062441117,0.008980200522552717,0.0006952855125262555,0.07221864520709537,34.57602508468394
14,7.0,0.5517567854560632,0.09696309328364017,0.00996775847731881,0.0008261877829777336,0.07858288058721098,34.64224940757116
15,7.5,0.5466150508391613,0.10092452004320238,0.011001997003462561,0.0009722571141736512,0.08505099239264845,34.708443531017
16,8.0,0.5414490714761327,0.1048477385837367,0.012082645482891428,0.0011343694572389885,0.09162184492123651,34.77460757842009
17,8.5,0.5362610247295154,0.10872995035106137,0.013209431607498703,0.0013134183119244,0.09829477550183197,34.84074150943857
18,9.0,0.5310528284319868,0.11256862149128666,0.014382061263657308,0.0015103138130691334,0.10506939245780868,34.90684518168941
19,9.5,0.5258263049303062,0.11636134647698991,0.015600193114725944,0.0017259804779777253,0.11194538114037497,34.97291841007467
20,10.0,0.5205833651562869,0.1201057066699933,0.016863400695917387,0.0019613524778022123,0.11892227249523471,35.03896103797301
21,10.5,0.5153260915582141,0.12379921527323097,0.01817114903603422,0.0022173691325204845,0.12599932774286085,35.104972972835455
22,11.0,0.5100568087994654,0.12743927674389416,0.019522770257232307,0.0024949691994079213,0.13317543185658254,35.17095421940811
23,11.5,0.5047780500160528,0.1310232261442484,0.02091746178148335,0.002795087058215167,0.1404491178818606,35.236904872612996
24,12.0,0.4994925011830889,0.13454838217755397,0.02235429196579885,0.003118649673558001,0.14781862212982566,35.3028251009367
25,12.5,0.49420292563748036,0.13801211069008917,0.023832213873169236,0.003466574799260951,0.1552819698342105,35.36871512032683
26,13.0,0.48891206526223385,0.1414118993405152,0.02535008922343493,0.0038397711738157453,0.1628370983088323,35.43457515622318
27,13.5,0.483622553968732,0.14474541736937185,0.026906713802963875,0.004239139858932047,0.17048197155209574,35.500405407962006
28,14.0,0.47833685940605386,0.14801055065804075,0.028500838978404535,0.004665575957500604,0.17821466348735163,35.56620602267243
29,14.5,0.47305724024882884,0.15120542242015286,0.030131191388187862,0.0051199709428302025,0.18603342502501918,35.63197707391903
30,15.0,0.46778574456983135,0.1543283843168602,0.031796482149676494,0.005603213963631728,0.19393669750710835,35.69771855695571
31,15.5,0.4625242092266014,0.15737800651921857,0.0334954157170399,0.006116193537139892,0.20192312556471803,35.76343038397958
32,16.0,0.45727428600082276,0.16035305088453408,0.03522669012663211,0.006659797988010844,0.20999153210183083,35.82911239125017
33,16.5,0.4520374716209987,0.1632524433538094,0.036988994631905685,0.007234915393286025,0.2181408857974788,35.89476434858157
34,17.0,0.4468151461395853,0.16607524328545653,0.0387810030643823,0.00784243251057568,0.22637025394594815,35.960385973580756
35,17.5,0.4416086038072459,0.16882061974792562,0.04060136791529753,0.008483233529530704,0.23467876316711278,36.02597694351286
36,18.0,0.4364191012643909,0.17148782000049492,0.04244870698364448,0.009158196751469515,0.2430655312221924,36.0915369166586
37,18.5,0.43124786345059174,0.17407616510852708,0.04432160285456945,0.009868193586311524,0.25152965857660053,36.15706553468734
38,19.0,0.426096131599383,0.17658502285342928,0.046218586983166526,0.010614083564021003,0.2600701545118253,36.222562446387606
39,19.5,0.4209651510268337,0.17901381649933326,0.048138143925204976,0.011396713548627866,0.2686859519956268,36.28802730292096
40,20.0,0.4158562101982199,0.18136200574833353,0.05007869702607087,0.012216912027375484,0.2773758428826017,36.353459779179474
41,20.5,0.41077063076958814,0.1836290957847414,0.05203861130577471,0.013075487139895547,0.2861384868159774,36.41885957141268
42,21.0,0.40570977140196846,0.18581463871787282,0.054016191605574096,0.013973223274584428,0.29497239875277426,36.484226401973665
