,t,Q,T
3606,0.0,4.0,33.62708
3607,0.5,4.0,33.655872
3608,1.0,4.0,33.684124
3609,1.5,4.0,33.71207
3610,2.0,4.0,33.739864
3611,2.5,4.0,33.76757
3612,3.0,4.0,33.795147
3613,3.5,4.0,33.822514
3614,4.0,4.0,33.849613
3615,4.5,4.0,33.87642
3616,5.0,4.0,33.902985
3617,5.5,4.0,33.929356
3618,6.0,4.0,33.9556
3619,6.5,4.0,33.981762
3620,7.0,4.0,34.00783
3621,7.5,4.0,34.03378
3622,8.0,4.0,34.059555
3623,8.5,4.0,34.085114
3624,9.0,4.0,34.11044
3625,9.5,4.0,34.13554
3626,10.0,4.0,34.16045
3627,10.5,4.0,34.185253
3628,11.0,4.0,34.210014
3629,11.5,4.0,34.2348
3630,12.0,4.0,34.259666
3631,12.5,4.0,34.284634
3632,13.0,4.0,34.309692
3633,13.5,4.0,34.33482
3634,14.0,4.0,34.35996
3635,14.5,4.0,34.385044
3636,15.0,4.0,34.410023
3637,15.5,4.0,34.434826
3638,16.0,4.0,34.45941
3639,16.5,4.0,34.48374
3640,17.0,4.0,34.507793
3641,17.5,4.0,34.531563
3642,18.0,4.0,34.555058
3643,18.5,4.0,34.57829
3644,19.0,4.0,34.60129
3645,19.5,4.0,34.62409
3646,20.0,4.0,34.646713
3647,20.5,4.0,34.66921
3648,21.0,4.0,34.691612
3649,21.5,4.0,34.71397
3650,22.0,4.0,34.736324
3651,22.5,4.0,34.758705
3652,23.0,4.0,34.78116
3653,23.5,4.0,34.80372
3654,24.0,4.0,34.826424
3655,24.5,4.0,34.849297
3656,25.0,4.0,34.872364
3657,25.5,4.0,34.895645
3658,26.0,4.0,34.91916
3659,26.5,4.0,34.942905
3660,27.0,4.0,34.966892
3661,27.5,4.0,34.991104
3662,28.0,4.0,35.01553
3663,28.5,4.0,35.040154
3664,29.0,4.0,35.064945
3665,29.5,4.0,35.089878
3666,30.0,4.0,35.114902
3667,30.5,4.0,35.139996
3668,31.0,4.0,35.165104
3669,31.5,4.0,35.190205
3670,32.0,4.0,35.215244
3671,32.5,4.0,35.240204
3672,33.0,4.0,35.265053
3673,33.5,4.0,35.289757
3674,34.0,4.0,35.314316
3675,34.5,4.0,35.33871
3676,35.0,4.0,35.36294
3677,35.5,4.0,35.387016
3678,36.0,4.0,35.410946
3679,36.5,4.0,35.43475
3680,37.0,4.0,35.45845
3681,37.5,4.0,35.482067
3682,38.0,4.0,35.505646
3683,38.5,4.0,35.52921
3684,39.0,4.0,35.5528
3685,39.5,4.0,35.57644
3686,40.0,4.0,35.60017
3687,40.5,4.0,35.62402
3688,41.0,4.0,35.64803
3689,41.5,4.0,35.672222
3690,42.0,4.0,35.69662
3691,42.5,4.0,35.72125
3692,43.0,4.0,35.746124
3693,43.5,4.0,35.77127
3694,44.0,4.0,35.796696
3695,44.5,4.0,35.82241
3696,45.0,4.0,35.848423
3697,45.5,4.0,35.874737
3698,46.0,4.0,35.90135
3699,46.5,4.0,35.928257
3700,47.0,4.0,35.955463
3701,47.5,4.0,35.98296
3702,48.0,4.0,36.01074
3703,48.5,4.0,36.038784
3704,49.0,4.0,36.067097
3705,49.5,4.0,36.09565
3706,50.0,4.0,36.12444
3707,50.5,4.0,36.153454
3708,51.0,4.0,36.182674
3709,51.5,4.0,36.212086
3710,52.0,4.0,36.241676
3711,52.5,4.0,36.271427
3712,53.0,4.0,36.301327
3713,53.5,4.0,36.331356
3714,54.0,4.0,36.361507
3715,54.5,4.0,36.391758
3716,55.0,4.0,36.4221
3717,55.5,4.0,36.45252
3718,56.0,4.0,36.483
3719,56.5,4.0,36.51354
3720,57.0,4.0,36.544117
3721,57.5,4.0,36.574726
3722,58.0,4.0,36.60536
3723,58.5,4.0,36.636
3724,59.0,4.0,36.666645
3725,59.5,4.0,36.697285
3726,60.0,4.0,36.727913
3727,60.5,4.0,36.758522
3728,61.0,4.0,36.78911
3729,61.5,4.0,36.819668
3730,62.0,4.0,36.850193
3731,62.5,4.0,36.880676
3732,63.0,4.0,36.91112
3733,63.5,4.0,36.941517
3734,64.0,4.0,36.97187
3735,64.5,4.0,37.00218
3736,65.0,4.0,37.03243
3737,65.5,4.0,37.06263
3738,66.0,4.0,37.092785
3739,66.5,4.0,37.122875
3740,67.0,4.0,37.152916
3741,67.5,4.0,37.182907
3742,68.0,4.0,37.212845
3743,68.5,4.0,37.24273
3744,69.0,4.0,37.272564
3745,69.5,4.0,37.30234
3746,70.0,4.0,37.332073
3747,70.5,4.0,37.361763
3748,71.0,4.0,37.3914
3749,71.5,4.0,37.420994
3750,72.0,4.0,37.450542
3751,72.5,4.0,37.480053
3752,73.0,4.0,37.50952
3753,73.5,4.0,37.53895
3754,74.0,4.0,37.568348
3755,74.5,4.0,37.597706
3756,75.0,4.0,37.627033
3757,75.5,4.0,37.656334
3758,76.0,4.0,37.685604
3759,76.5,4.0,37.714844
3760,77.0,4.0,37.74406
3761,77.5,4.0,37.773254
3762,78.0,4.0,37.802425
3763,78.5,4.0,37.831577
3764,79.0,4.0,37.860718
3765,79.5,4.0,37.889835
3766,80.0,4.0,37.91894
3767,80.5,4.0,37.948036
3768,81.0,4.0,37.977116
3769,81.5,4.0,38.006187
3770,82.0,4.0,38.03525
3771,82.5,4.0,38.064304
3772,83.0,4.0,38.093357
3773,83.5,4.0,38.122402
3774,84.0,4.0,38.151447
3775,84.5,4.0,38.18049
3776,85.0,4.0,38.20953
3777,85.5,4.0,38.238567
3778,86.0,4.0,38.26761
3779,86.5,4.0,38.296654
3780,87.0,4.0,38.3257
3781,87.5,4.0,38.35475
3782,88.0,4.0,38.383804
3783,88.5,4.0,38.41287
3784,89.0,4.0,38.441933
3785,89.5,4.0,38.471004
3786,90.0,4.0,38.50008
3787,90.5,4.0,38.52917
3788,91.0,4.0,38.55826
3789,91.5,4.0,38.587368
3790,92.0,4.0,38.616478
3791,92.5,4.0,38.645596
3792,93.0,4.0,38.67473
3793,93.5,4.0,38.70387
3794,94.0,4.0,38.733017
3795,94.5,4.0,38.762177
3796,95.0,4.0,38.791344
3797,95.5,4.0,38.820526
3798,96.0,4.0,38.84972
