,t,Q,T
0,0.0,6.0,34.0
2,1.0,6.0,35.0
4,2.0,6.0,35.0
6,3.0,6.0,34.0
8,4.0,6.0,34.0
10,5.0,6.0,35.0
12,6.0,6.0,35.0
14,7.0,6.0,34.0
16,8.0,6.0,35.0
18,9.0,6.0,34.0
20,10.0,6.0,35.0
22,11.0,6.0,35.0
24,12.0,6.0,35.0
26,13.0,6.0,35.0
28,14.0,6.0,35.0
30,15.0,6.0,35.0
32,16.0,6.0,35.0
34,17.0,6.0,35.0
36,18.0,6.0,36.0
38,19.0,6.0,35.0
40,20.0,6.0,36.0
42,21.0,6.0,35.0
44,22.0,6.0,36.0
46,23.0,6.0,36.0
48,24.0,6.0,36.0
50,25.0,6.0,37.0
52,26.0,6.0,36.0
54,27.0,6.0,36.0
56,28.0,6.0,37.0
58,29.0,6.0,36.0
60,30.0,6.0,37.0
62,31.0,6.0,36.0
64,32.0,6.0,37.0
66,33.0,6.0,37.0
68,34.0,6.0,37.0
70,35.0,6.0,37.0
72,36.0,6.0,38.0
74,37.0,6.0,37.0
76,38.0,6.0,38.0
78,39.0,6.0,38.0
80,40.0,6.0,38.0
82,41.0,6.0,38.0
84,42.0,6.0,38.0
86,43.0,6.0,39.0
88,44.0,6.0,39.0
90,45.0,6.0,39.0
92,46.0,6.0,39.0
94,47.0,6.0,39.0
96,48.0,6.0,39.0
98,49.0,6.0,39.0
100,50.0,6.0,39.0
102,51.0,6.0,40.0
104,52.0,6.0,39.0
106,53.0,6.0,40.0
108,54.0,6.0,40.0
110,55.0,6.0,40.0
112,56.0,6.0,40.0
114,57.0,6.0,40.0
116,58.0,6.0,41.0
118,59.0,6.0,40.0
120,60.0,6.0,41.0
122,61.0,6.0,41.0
124,62.0,6.0,41.0
126,63.0,6.0,41.0
128,64.0,6.0,41.0
130,65.0,6.0,41.0
132,66.0,6.0,42.0
134,67.0,6.0,42.0
136,68.0,6.0,42.0
138,69.0,6.0,42.0
140,70.0,6.0,42.0
142,71.0,6.0,42.0
144,72.0,6.0,42.0
146,73.0,6.0,43.0
148,74.0,6.0,43.0
150,75.0,6.0,43.0
152,76.0,6.0,43.0
154,77.0,6.0,43.0
156,78.0,6.0,43.0
158,79.0,6.0,43.0
160,80.0,6.0,43.0
162,81.0,6.0,44.0
164,82.0,6.0,43.0
166,83.0,6.0,44.0
168,84.0,6.0,44.0
170,85.0,6.0,44.0
172,86.0,6.0,44.0
174,87.0,6.0,44.0
176,88.0,6.0,44.0
178,89.0,6.0,44.0
180,90.0,6.0,45.0
182,91.0,6.0,45.0
184,92.0,6.0,45.0
186,93.0,6.0,45.0
188,94.0,6.0,45.0
190,95.0,6.0,46.0
192,96.0,6.0,45.0
194,97.0,6.0,46.0
196,98.0,6.0,46.0
198,99.0,6.0,45.0
200,100.0,6.0,46.0
202,101.0,6.0,46.0
204,102.0,6.0,46.0
206,103.0,6.0,46.0
208,104.0,6.0,46.0
210,105.0,6.0,46.0
212,106.0,6.0,47.0
214,107.0,6.0,47.0
216,108.0,6.0,47.0
218,109.0,6.0,47.0
220,110.0,6.0,47.0
222,111.0,6.0,47.0
224,112.0,6.0,47.0
226,113.0,6.0,48.0
228,114.0,6.0,47.0
230,115.0,6.0,47.0
232,116.0,6.0,47.0
234,117.0,6.0,48.0
236,118.0,6.0,48.0
238,119.0,6.0,48.0
240,120.0,6.0,48.0
242,121.0,6.0,48.0
244,122.0,6.0,48.0
246,123.0,6.0,48.0
248,124.0,6.0,49.0
250,125.0,6.0,49.0
252,126.0,6.0,49.0
254,127.0,6.0,49.0
256,128.0,6.0,49.0
258,129.0,6.0,49.0
260,130.0,6.0,49.0
262,131.0,6.0,50.0
264,132.0,6.0,50.0
266,133.0,6.0,50.0
268,134.0,6.0,50.0
270,135.0,6.0,50.0
272,136.0,6.0,50.0
274,137.0,6.0,50.0
276,138.0,6.0,51.0
278,139.0,6.0,51.0
280,140.0,6.0,51.0
282,141.0,6.0,51.0
284,142.0,6.0,51.0
286,143.0,6.0,51.0
288,144.0,6.0,51.0
290,145.0,6.0,52.0
292,146.0,6.0,52.0
294,147.0,6.0,52.0
296,148.0,6.0,52.0
298,149.0,6.0,52.0
300,150.0,6.0,52.0
302,151.0,6.0,52.0
304,152.0,6.0,53.0
306,153.0,6.0,53.0
308,154.0,6.0,53.0
310,155.0,6.0,53.0
312,156.0,6.0,53.0
314,157.0,6.0,53.0
316,158.0,6.0,53.0
318,159.0,6.0,53.0
320,160.0,6.0,53.0
322,161.0,6.0,53.0
324,162.0,6.0,54.0
326,163.0,6.0,54.0
328,164.0,6.0,54.0
330,165.0,6.0,54.0
332,166.0,6.0,54.0
334,167.0,6.0,54.0
336,168.0,6.0,55.0
338,169.0,6.0,54.0
340,170.0,6.0,55.0
342,171.0,6.0,55.0
344,172.0,6.0,55.0
346,173.0,6.0,55.0
348,174.0,6.0,55.0
350,175.0,6.0,55.0
352,176.0,6.0,55.0
354,177.0,6.0,55.0
356,178.0,6.0,56.0
358,179.0,6.0,56.0
360,180.0,6.0,56.0
362,181.0,6.0,56.0
364,182.0,6.0,56.0
366,183.0,6.0,56.0
368,184.0,6.0,56.0
370,185.0,6.0,57.0
372,186.0,6.0,56.0
374,187.0,6.0,56.0
376,188.0,6.0,57.0
378,189.0,6.0,57.0
380,190.0,6.0,57.0
382,191.0,6.0,57.0
384,192.0,6.0,58.0
386,193.0,6.0,58.0
388,194.0,6.0,57.0
390,195.0,6.0,58.0
392,196.0,6.0,58.0
394,197.0,6.0,58.0
396,198.0,6.0,58.0
398,199.0,6.0,58.0
400,200.0,6.0,58.0
402,201.0,6.0,58.0
404,202.0,6.0,58.0
406,203.0,6.0,58.0
408,204.0,6.0,58.0
410,205.0,6.0,59.0
412,206.0,6.0,59.0
414,207.0,6.0,59.0
416,208.0,6.0,59.0
418,209.0,6.0,59.0
420,210.0,6.0,59.0
422,211.0,6.0,59.0
424,212.0,6.0,60.0
426,213.0,6.0,60.0
428,214.0,6.0,59.0
430,215.0,6.0,60.0
432,216.0,6.0,60.0
434,217.0,6.0,60.0
436,218.0,6.0,60.0
438,219.0,6.0,60.0
440,220.0,6.0,60.0
442,221.0,6.0,60.0
444,222.0,6.0,61.0
446,223.0,6.0,61.0
448,224.0,6.0,61.0
450,225.0,6.0,61.0
452,226.0,6.0,61.0
454,227.0,6.0,61.0
456,228.0,6.0,61.0
458,229.0,6.0,61.0
460,230.0,6.0,61.0
462,231.0,6.0,62.0
464,232.0,6.0,62.0
466,233.0,6.0,62.0
468,234.0,6.0,62.0
470,235.0,6.0,62.0
472,236.0,6.0,62.0
474,237.0,6.0,62.0
476,238.0,6.0,62.0
478,239.0,6.0,63.0
480,240.0,6.0,63.0
481,0.0,6.0,35.0
483,1.0,6.0,35.0
485,2.0,6.0,35.0
487,3.0,6.0,35.0
489,4.0,6.0,35.0
491,5.0,6.0,35.0
493,6.0,6.0,35.0
495,7.0,6.0,34.0
497,8.0,6.0,35.0
499,9.0,6.0,35.0
501,10.0,6.0,35.0
503,11.0,6.0,35.0
505,12.0,6.0,35.0
507,13.0,6.0,35.0
509,14.0,6.0,36.0
511,15.0,6.0,35.0
513,16.0,6.0,36.0
515,17.0,6.0,35.0
517,18.0,6.0,36.0
519,19.0,6.0,35.0
521,20.0,6.0,36.0
523,21.0,6.0,36.0
525,22.0,6.0,36.0
527,23.0,6.0,36.0
529,24.0,6.0,36.0
531,25.0,6.0,36.0
533,26.0,6.0,36.0
535,27.0,6.0,36.0
537,28.0,6.0,37.0
539,29.0,6.0,37.0
541,30.0,6.0,37.0
543,31.0,6.0,37.0
545,32.0,6.0,37.0
547,33.0,6.0,37.0
549,34.0,6.0,38.0
551,35.0,6.0,37.0
553,36.0,6.0,37.0
555,37.0,6.0,38.0
557,38.0,6.0,38.0
559,39.0,6.0,38.0
561,40.0,6.0,38.0
563,41.0,6.0,38.0
565,42.0,6.0,39.0
567,43.0,6.0,39.0
569,44.0,6.0,38.0
571,45.0,6.0,39.0
573,46.0,6.0,39.0
575,47.0,6.0,39.0
577,48.0,6.0,39.0
579,49.0,6.0,39.0
581,50.0,6.0,39.0
583,51.0,6.0,39.0
585,52.0,6.0,39.0
587,53.0,6.0,40.0
589,54.0,6.0,40.0
591,55.0,6.0,40.0
593,56.0,6.0,40.0
595,57.0,6.0,40.0
597,58.0,6.0,40.0
599,59.0,6.0,41.0
601,60.0,6.0,40.0
603,61.0,6.0,41.0
605,62.0,6.0,41.0
607,63.0,6.0,41.0
609,64.0,6.0,41.0
611,65.0,6.0,41.0
613,66.0,6.0,41.0
615,67.0,6.0,41.0
617,68.0,6.0,41.0
619,69.0,6.0,42.0
621,70.0,6.0,41.0
623,71.0,6.0,41.0
625,72.0,6.0,42.0
627,73.0,6.0,42.0
629,74.0,6.0,42.0
631,75.0,6.0,42.0
633,76.0,6.0,43.0
635,77.0,6.0,43.0
637,78.0,6.0,43.0
639,79.0,6.0,43.0
641,80.0,6.0,43.0
643,81.0,6.0,43.0
645,82.0,6.0,44.0
647,83.0,6.0,43.0
649,84.0,6.0,43.0
651,85.0,6.0,44.0
653,86.0,6.0,44.0
655,87.0,6.0,44.0
657,88.0,6.0,44.0
659,89.0,6.0,44.0
661,90.0,6.0,44.0
663,91.0,6.0,44.0
665,92.0,6.0,45.0
667,93.0,6.0,45.0
669,94.0,6.0,44.0
671,95.0,6.0,45.0
673,96.0,6.0,45.0
675,97.0,6.0,45.0
677,98.0,6.0,45.0
679,99.0,6.0,45.0
681,100.0,6.0,45.0
683,101.0,6.0,46.0
685,102.0,6.0,46.0
687,103.0,6.0,45.0
689,104.0,6.0,46.0
691,105.0,6.0,46.0
693,106.0,6.0,46.0
695,107.0,6.0,46.0
697,108.0,6.0,46.0
699,109.0,6.0,47.0
701,110.0,6.0,47.0
703,111.0,6.0,47.0
705,112.0,6.0,47.0
707,113.0,6.0,47.0
709,114.0,6.0,47.0
711,115.0,6.0,47.0
713,116.0,6.0,48.0
715,117.0,6.0,47.0
717,118.0,6.0,48.0
719,119.0,6.0,48.0
721,120.0,6.0,48.0
723,121.0,6.0,48.0
725,122.0,6.0,48.0
727,123.0,6.0,48.0
729,124.0,6.0,48.0
731,125.0,6.0,49.0
733,126.0,6.0,49.0
735,127.0,6.0,49.0
737,128.0,6.0,49.0
739,129.0,6.0,49.0
741,130.0,6.0,49.0
743,131.0,6.0,49.0
745,132.0,6.0,50.0
747,133.0,6.0,50.0
749,134.0,6.0,50.0
751,135.0,6.0,50.0
753,136.0,6.0,50.0
755,137.0,6.0,50.0
757,138.0,6.0,50.0
759,139.0,6.0,50.0
761,140.0,6.0,51.0
763,141.0,6.0,50.0
765,142.0,6.0,51.0
767,143.0,6.0,51.0
769,144.0,6.0,51.0
771,145.0,6.0,51.0
773,146.0,6.0,51.0
775,147.0,6.0,51.0
777,148.0,6.0,52.0
779,149.0,6.0,51.0
781,150.0,6.0,52.0
783,151.0,6.0,52.0
785,152.0,6.0,52.0
787,153.0,6.0,52.0
789,154.0,6.0,52.0
791,155.0,6.0,53.0
793,156.0,6.0,53.0
795,157.0,6.0,52.0
797,158.0,6.0,53.0
799,159.0,6.0,53.0
801,160.0,6.0,52.0
803,161.0,6.0,53.0
805,162.0,6.0,53.0
807,163.0,6.0,53.0
809,164.0,6.0,53.0
811,165.0,6.0,53.0
