,t,Q,T
7588,0.0,6.0,34.0
7589,1.0,6.0,34.0
7590,2.0,6.0,34.0
7591,3.0,6.0,34.0
7592,4.0,6.0,34.0
7593,5.0,6.0,35.0
7594,6.0,6.0,34.0
7595,7.0,6.0,35.0
7596,8.0,6.0,34.0
7597,9.0,6.0,34.0
7598,10.0,6.0,35.0
7599,11.0,6.0,35.0
7600,12.0,6.0,35.0
7601,13.0,6.0,35.0
7602,14.0,6.0,35.0
7603,15.0,6.0,35.0
7604,16.0,6.0,35.0
7605,17.0,6.0,35.0
7606,18.0,6.0,35.0
7607,19.0,6.0,35.0
7608,20.0,6.0,35.0
7609,21.0,6.0,36.0
7610,22.0,6.0,36.0
7611,23.0,6.0,36.0
7612,24.0,6.0,36.0
7613,25.0,6.0,36.0
7614,26.0,6.0,36.0
7615,27.0,6.0,36.0
7616,28.0,6.0,37.0
7617,29.0,6.0,37.0
7618,30.0,6.0,37.0
7619,31.0,6.0,37.0
7620,32.0,6.0,37.0
7621,33.0,6.0,37.0
7622,34.0,6.0,37.0
7623,35.0,6.0,38.0
7624,36.0,6.0,37.0
7625,37.0,6.0,38.0
7626,38.0,6.0,38.0
7627,39.0,6.0,38.0
7628,40.0,6.0,38.0
7629,41.0,6.0,38.0
7630,42.0,6.0,38.0
7631,43.0,6.0,38.0
7632,44.0,6.0,39.0
7633,45.0,6.0,38.0
7634,46.0,6.0,39.0
7635,47.0,6.0,39.0
7636,48.0,6.0,39.0
7637,49.0,6.0,39.0
7638,50.0,6.0,39.0
7639,51.0,6.0,40.0
7640,52.0,6.0,39.0
7641,53.0,6.0,39.0
7642,54.0,6.0,40.0
7643,55.0,6.0,40.0
7644,56.0,6.0,40.0
7645,57.0,6.0,41.0
7646,58.0,6.0,41.0
7647,59.0,6.0,40.0
7648,60.0,6.0,41.0
7649,61.0,6.0,41.0
7650,62.0,6.0,41.0
7651,63.0,6.0,41.0
7652,64.0,6.0,41.0
7653,65.0,6.0,42.0
7654,66.0,6.0,41.0
7655,67.0,6.0,42.0
7656,68.0,6.0,42.0
7657,69.0,6.0,42.0
7658,70.0,6.0,42.0
7659,71.0,6.0,42.0
7660,72.0,6.0,43.0
7661,73.0,6.0,43.0
7662,74.0,6.0,43.0
7663,75.0,6.0,43.0
7664,76.0,6.0,43.0
7665,77.0,6.0,43.0
7666,78.0,6.0,43.0
7667,79.0,6.0,44.0
7668,80.0,6.0,44.0
7669,81.0,6.0,44.0
7670,82.0,6.0,44.0
7671,83.0,6.0,44.0
7672,84.0,6.0,44.0
7673,85.0,6.0,44.0
7674,86.0,6.0,45.0
7675,87.0,6.0,44.0
7676,88.0,6.0,45.0
7677,89.0,6.0,45.0
7678,90.0,6.0,45.0
7679,91.0,6.0,45.0
7680,92.0,6.0,45.0
7681,93.0,6.0,45.0
7682,94.0,6.0,45.0
7683,95.0,6.0,45.0
7684,96.0,6.0,45.0
7685,97.0,6.0,45.0
7686,98.0,6.0,46.0
7687,99.0,6.0,46.0
