,t,Q,T
2943,0.0,4.0,36.0
2944,1.0,4.0,35.0
2945,2.0,4.0,35.0
2946,3.0,4.0,35.0
2947,4.0,4.0,35.0
2948,5.0,4.0,36.0
2949,6.0,4.0,35.0
2950,7.0,4.0,35.0
2951,8.0,4.0,36.0
2952,9.0,4.0,36.0
2953,10.0,4.0,35.0
2954,11.0,4.0,36.0
2955,12.0,4.0,35.0
2956,13.0,4.0,36.0
2957,14.0,4.0,35.0
2958,15.0,4.0,36.0
2959,16.0,4.0,36.0
2960,17.0,4.0,36.0
2961,18.0,4.0,36.0
2962,19.0,4.0,36.0
2963,20.0,4.0,36.0
2964,21.0,4.0,36.0
2965,22.0,4.0,36.0
2966,23.0,4.0,36.0
2967,24.0,4.0,36.0
2968,25.0,4.0,36.0
2969,26.0,4.0,36.0
2970,27.0,4.0,37.0
2971,28.0,4.0,36.0
2972,29.0,4.0,36.0
2973,30.0,4.0,37.0
2974,31.0,4.0,36.0
2975,32.0,4.0,36.0
2976,33.0,4.0,36.0
2977,34.0,4.0,37.0
2978,35.0,4.0,37.0
2979,36.0,4.0,36.0
2980,37.0,4.0,37.0
2981,38.0,4.0,37.0
2982,39.0,4.0,37.0
2983,40.0,4.0,37.0
2984,41.0,4.0,37.0
2985,42.0,4.0,37.0
2986,43.0,4.0,37.0
2987,44.0,4.0,36.0
2988,45.0,4.0,37.0
2989,46.0,4.0,37.0
2990,47.0,4.0,37.0
2991,48.0,4.0,37.0
2992,49.0,4.0,37.0
2993,50.0,4.0,37.0
2994,51.0,4.0,38.0
2995,52.0,4.0,37.0
2996,53.0,4.0,37.0
2997,54.0,4.0,38.0
2998,55.0,4.0,38.0
2999,56.0,4.0,38.0
3000,57.0,4.0,38.0
3001,58.0,4.0,38.0
3002,59.0,4.0,38.0
3003,60.0,4.0,38.0
3004,61.0,4.0,38.0
3005,62.0,4.0,38.0
3006,63.0,4.0,38.0
3007,64.0,4.0,38.0
3008,65.0,4.0,39.0
3009,66.0,4.0,38.0
3010,67.0,4.0,39.0
3011,68.0,4.0,38.0
3012,69.0,4.0,38.0
3013,70.0,4.0,38.0
3014,71.0,4.0,39.0
3015,72.0,4.0,39.0
3016,73.0,4.0,39.0
3017,74.0,4.0,39.0
3018,75.0,4.0,39.0
3019,76.0,4.0,39.0
3020,77.0,4.0,39.0
3021,78.0,4.0,39.0
3022,79.0,4.0,39.0
3023,80.0,4.0,39.0
3024,81.0,4.0,39.0
3025,82.0,4.0,39.0
3026,83.0,4.0,39.0
3027,84.0,4.0,39.0
3028,85.0,4.0,39.0
3029,86.0,4.0,40.0
3030,87.0,4.0,40.0
3031,88.0,4.0,39.0
3032,89.0,4.0,40.0
3033,90.0,4.0,40.0
3034,91.0,4.0,40.0
3035,92.0,4.0,40.0
3036,93.0,4.0,40.0
3037,94.0,4.0,40.0
3038,95.0,4.0,40.0
3039,96.0,4.0,40.0
3040,97.0,4.0,40.0
3041,98.0,4.0,40.0
3042,99.0,4.0,40.0
3043,100.0,4.0,40.0
3044,101.0,4.0,40.0
3045,102.0,4.0,40.0
3046,103.0,4.0,40.0
3047,104.0,4.0,40.0
3048,105.0,4.0,41.0
3049,106.0,4.0,41.0
3050,107.0,4.0,41.0
3051,108.0,4.0,41.0
3052,109.0,4.0,41.0
3053,110.0,4.0,41.0
3054,111.0,4.0,41.0
3055,112.0,4.0,41.0
3056,113.0,4.0,41.0
3057,114.0,4.0,41.0
3058,115.0,4.0,41.0
3059,116.0,4.0,41.0
3060,117.0,4.0,41.0
3061,118.0,4.0,41.0
3062,119.0,4.0,41.0
3063,120.0,4.0,41.0
3064,121.0,4.0,41.0
3065,122.0,4.0,41.0
3066,123.0,4.0,41.0
3067,124.0,4.0,42.0
3068,125.0,4.0,42.0
3069,126.0,4.0,42.0
3070,127.0,4.0,42.0
3071,128.0,4.0,42.0
3072,129.0,4.0,42.0
3073,130.0,4.0,42.0
3074,131.0,4.0,42.0
3075,132.0,4.0,42.0
3076,133.0,4.0,42.0
3077,134.0,4.0,42.0
3078,135.0,4.0,42.0
3079,136.0,4.0,43.0
3080,137.0,4.0,42.0
3081,138.0,4.0,42.0
3082,139.0,4.0,42.0
3083,140.0,4.0,43.0
3084,141.0,4.0,42.0
3085,142.0,4.0,43.0
3086,143.0,4.0,43.0
3087,144.0,4.0,42.0
3088,145.0,4.0,42.0
3089,146.0,4.0,43.0
3090,147.0,4.0,42.0
3091,148.0,4.0,43.0
3092,149.0,4.0,43.0
3093,150.0,4.0,43.0
3094,151.0,4.0,43.0
3095,152.0,4.0,43.0
3096,153.0,4.0,43.0
3097,154.0,4.0,43.0
3098,155.0,4.0,43.0
3099,156.0,4.0,43.0
3100,157.0,4.0,43.0
