,t,Q,TG,DG,MG,G,ME
0,0.0,5.0,0.6166586,0.04053137,0.0005877912,-0.00027388893,0.00035206694
1,0.5,5.0,0.61251336,0.044231568,0.0009829402,-0.00027222,0.00485338
2,1.0,5.0,0.6083153,0.047960762,0.001406014,-0.0002709832,0.009455753
3,1.5,5.0,0.6040626,0.05171514,0.0018568635,-0.00026546977,0.01416443
4,2.0,5.0,0.5997568,0.0554885,0.0023381412,-0.00025187992,0.018982466
5,2.5,5.0,0.59540033,0.059273306,0.002853036,-0.00022815727,0.023909908
6,3.0,5.0,0.590999,0.063061446,0.0034045875,-0.00019331835,0.028942477
7,3.5,5.0,0.58655816,0.06684548,0.003994286,-0.00014803372,0.034073006
8,4.0,5.0,0.5820832,0.07061869,0.004621774,-9.334646e-05,0.0392933
9,4.5,5.0,0.57757735,0.07437754,0.005286753,-3.0672178e-05,0.04459713
10,5.0,5.0,0.5730434,0.07811919,0.0059879124,3.921427e-05,0.049979877
11,5.5,5.0,0.5684816,0.08184287,0.0067246854,0.00011567213,0.055440497
12,6.0,5.0,0.5638926,0.085547924,0.007497579,0.00019822456,0.060979452
13,6.5,5.0,0.55927604,0.0892335,0.008308172,0.00028813817,0.06660105
14,7.0,5.0,0.5546331,0.092897475,0.009158492,0.00038566627,0.07230745
15,7.5,5.0,0.54996526,0.09653723,0.010050774,0.0004923735,0.07810208
16,8.0,5.0,0.545275,0.10014786,0.010986537,0.0006104801,0.083987236
17,8.5,5.0,0.54056597,0.10372412,0.0119665265,0.000741655,0.08996229
18,9.0,5.0,0.5358414,0.10726079,0.012990266,0.0008881483,0.09602627
19,9.5,5.0,0.5311057,0.11075187,0.014056027,0.0010520611,0.10217507
20,10.0,5.0,0.52636224,0.114192635,0.015161157,0.0012351815,0.1084054
21,10.5,5.0,0.52161413,0.11757913,0.016302556,0.00143894,0.114712134
22,11.0,5.0,0.516864,0.120908886,0.017477483,0.0016639624,0.12109129
23,11.5,5.0,0.5121141,0.1241802,0.018682957,0.0019108448,0.12753837
24,12.0,5.0,0.5073655,0.12739247,0.01991719,0.002179483,0.1340508
25,12.5,5.0,0.50261956,0.13054606,0.021178603,0.0024694595,0.1406262
26,13.0,5.0,0.49787724,0.13364124,0.022466213,0.0027806405,0.14726327
27,13.5,5.0,0.4931388,0.13667911,0.02377981,0.003112102,0.1539611
28,14.0,5.0,0.4884056,0.13965982,0.0251192,0.003463352,0.16071941
29,14.5,5.0,0.48367795,0.14258403,0.026484668,0.0038341973,0.16753848
30,15.0,5.0,0.47895724,0.14545208,0.027876735,0.004224235,0.17441876
31,15.5,5.0,0.47424424,0.14826381,0.029295802,0.004633108,0.18136014
32,16.0,5.0,0.46954024,0.15101904,0.030742347,0.0050615016,0.18836404
33,16.5,5.0,0.46484572,0.15371728,0.0322171,0.005509505,0.19543184
34,17.0,5.0,0.4601621,0.15635832,0.033720225,0.0059775505,0.20256384
35,17.5,5.0,0.4554905,0.15894124,0.035252303,0.0064667407,0.20976149
36,18.0,5.0,0.45083123,0.16146532,0.036812842,0.006978059,0.2170258
37,18.5,5.0,0.44618547,0.16392976,0.038401857,0.0075130556,0.22435777
38,19.0,5.0,0.44155365,0.16633399,0.040018275,0.008072788,0.23175745
39,19.5,5.0,0.43693674,0.16867667,0.041660532,0.008659149,0.23922469
40,20.0,5.0,0.43233562,0.17095709,0.043327212,0.009273285,0.24675812
41,20.5,5.0,0.4277509,0.1731743,0.045015723,0.009916941,0.25435662
42,21.0,5.0,0.4231838,0.17532736,0.04672359,0.010591203,0.26201746
43,21.5,5.0,0.4186355,0.17741528,0.04844764,0.01129722,0.26973736
44,22.0,5.0,0.41410702,0.17943752,0.05018489,0.012036005,0.27751327
45,22.5,5.0,0.40959978,0.1813933,0.051932544,0.0128079895,0.28534082
46,23.0,5.0,0.40511543,0.18328243,0.05368741,0.01361371,0.2932164
47,23.5,5.0,0.4006544,0.1851044,0.055446893,0.014453793,0.30113676
48,24.0,5.0,0.3962185,0.18685953,0.057209045,0.015327791,0.309098
49,24.5,5.0,0.39180887,0.18854755,0.05897118,0.016236195,0.31709704
50,25.0,5.0,0.3874265,0.19016884,0.06073183,0.017179007,0.3251317
51,25.5,5.0,0.38307232,0.19172357,0.062489405,0.018156225,0.33319944
52,26.0,5.0,0.37874734,0.19321224,0.06424266,0.019167537,0.34129807
53,26.5,5.0,0.37445244,0.19463529,0.06599066,0.02021342,0.34942687
54,27.0,5.0,0.37018844,0.19599298,0.067732304,0.021293664,0.35758427
55,27.5,5.0,0.3659558,0.197286,0.0694671,0.022408644,0.36577016
56,28.0,5.0,0.36175537,0.19851516,0.07119474,0.02355806,0.37398332
57,28.5,5.0,0.35758772,0.19968058,0.07291445,0.0247423,0.38222402
58,29.0,5.0,0.35345328,0.20078315,0.0746261,0.025961528,0.39049205
59,29.5,5.0,0.3493527,0.20182328,0.07632926,0.027215937,0.39878708
60,30.0,5.0,0.3452863,0.20280153,0.07802352,0.028505469,0.40710896
61,30.5,5.0,0.3412548,0.20371826,0.07970846,0.029830718,0.41545752
62,31.0,5.0,0.33725858,0.20457461,0.081383854,0.031191343,0.42383268
63,31.5,5.0,0.3332981,0.2053705,0.08304913,0.032587968,0.4322338
64,32.0,5.0,0.32937425,0.20610672,0.084703445,0.034020178,0.4406593
65,32.5,5.0,0.32548708,0.20678398,0.08634654,0.0354883,0.44910917
66,33.0,5.0,0.32163733,0.20740303,0.08797747,0.03699211,0.45758158
67,33.5,5.0,0.31782556,0.20796412,0.08959521,0.03853152,0.46607494
68,34.0,5.0,0.31405196,0.20846805,0.09119889,0.040106393,0.4745877
69,34.5,5.0,0.3103171,0.20891574,0.09278765,0.04171654,0.48311734
70,35.0,5.0,0.3066214,0.20930779,0.09436005,0.04336179,0.49166226
71,35.5,5.0,0.3029652,0.20964485,0.09591502,0.045041673,0.50021976
72,36.0,5.0,0.2993486,0.20992792,0.09745139,0.046755694,0.5087871
73,36.5,5.0,0.29577196,0.21015772,0.09896785,0.048503764,0.517362
74,37.0,5.0,0.29223517,0.2103353,0.10046323,0.050285317,0.52594244
75,37.5,5.0,0.28873852,0.21046115,0.10193604,0.052100115,0.53452516
76,38.0,5.0,0.28528157,0.21053676,0.10338557,0.053947292,0.54310834
77,38.5,5.0,0.2818645,0.21056238,0.104810044,0.055827044,0.5516895
78,39.0,5.0,0.2784871,0.21053976,0.1062088,0.057738565,0.560267
79,39.5,5.0,0.27514884,0.21046914,0.10758059,0.059681833,0.56883883
80,40.0,5.0,0.27184996,0.21035203,0.10892455,0.06165625,0.5774032
81,40.5,5.0,0.2685899,0.21018946,0.110239744,0.06366142,0.5859584
82,41.0,5.0,0.2653684,0.20998219,0.1115253,0.06569731,0.5945035
83,41.5,5.0,0.26218536,0.20973155,0.11278047,0.067763545,0.6030374
84,42.0,5.0,0.25904042,0.20943877,0.11400449,0.069859356,0.61155814
85,42.5,5.0,0.25593337,0.20910496,0.1151969,0.07198507,0.6200657
86,43.0,5.0,0.25286415,0.20873149,0.116356894,0.074139945,0.6285584
87,43.5,5.0,0.24983273,0.20831963,0.11748405,0.07632389,0.6370356
88,44.0,5.0,0.24683888,0.20787063,0.11857775,0.07853614,0.6454959
89,44.5,5.0,0.24388272,0.20738599,0.11963779,0.08077698,0.653939
90,45.0,5.0,0.24096392,0.20686683,0.120663315,0.08304544,0.66236377
91,45.5,5.0,0.23808286,0.20631479,0.12165417,0.08534136,0.67076904
92,46.0,5.0,0.23523957,0.20573136,0.12261014,0.08766392,0.67915374
93,46.5,5.0,0.2324341,0.20511779,0.12353067,0.090013094,0.687517
94,47.0,5.0,0.22966641,0.20447549,0.12441531,0.09238795,0.69585717
95,47.5,5.0,0.22693695,0.2038059,0.12526393,0.09478802,0.7041733
96,48.0,5.0,0.22424562,0.20311074,0.12607642,0.097212724,0.7124642
97,48.5,5.0,0.22159265,0.20239088,0.1268523,0.09966143,0.7207284
98,49.0,5.0,0.21897797,0.20164806,0.12759146,0.1021333,0.72896457
99,49.5,5.0,0.21640179,0.2008836,0.12829399,0.10462766,0.7371715
100,50.0,5.0,0.21386424,0.20009863,0.12895945,0.10714368,0.7453473
101,50.5,5.0,0.21136554,0.1992946,0.12958804,0.109680556,0.7534907
102,51.0,5.0,0.20890553,0.19847265,0.13017975,0.112237595,0.76160043
103,51.5,5.0,0.20648418,0.1976341,0.13073452,0.11481362,0.76967484
104,52.0,5.0,0.20410159,0.19678001,0.13125283,0.117407896,0.7777122
105,52.5,5.0,0.20175773,0.19591147,0.13173434,0.12001955,0.78571165
106,53.0,5.0,0.19945253,0.19502951,0.13217978,0.122647844,0.7936717
107,53.5,5.0,0.19718592,0.19413519,0.13258922,0.1252914,0.8015907
108,54.0,5.0,0.19495733,0.19322947,0.13296293,0.12794945,0.80946743
109,54.5,5.0,0.19276734,0.19231325,0.13330142,0.13062117,0.8173008
110,55.0,5.0,0.19061497,0.19138724,0.13360524,0.13330555,0.82508975
111,55.5,5.0,0.18850039,0.19045252,0.13387473,0.13600142,0.83283305
112,56.0,5.0,0.18642342,0.18950966,0.13411038,0.13870807,0.84052926
113,56.5,5.0,0.18438332,0.18855944,0.13431305,0.14142439,0.84817785
114,57.0,5.0,0.18238011,0.18760246,0.13448313,0.14414954,0.85577774
115,57.5,5.0,0.18041313,0.18663956,0.13462146,0.14688249,0.86332834
116,58.0,5.0,0.17848219,0.18567103,0.13472855,0.14962253,0.8708284
117,58.5,5.0,0.17658684,0.18469779,0.13480529,0.15236847,0.8782776
118,59.0,5.0,0.17472644,0.1837199,0.13485202,0.15511984,0.88567567
119,59.5,5.0,0.17290059,0.18273821,0.13486987,0.1578755,0.89302135
120,60.0,5.0,0.17110907,0.18175307,0.13485946,0.16063459,0.90031457
121,60.5,5.0,0.16935079,0.18076485,0.13482174,0.16339639,0.9075547
122,61.0,5.0,0.16762581,0.17977402,0.1347572,0.16616017,0.9147414
123,61.5,5.0,0.16593328,0.17878094,0.1346668,0.16892497,0.92187464
124,62.0,5.0,0.16427268,0.1777859,0.13455123,0.17169032,0.9289539
125,62.5,5.0,0.16264355,0.17678946,0.13441144,0.17445527,0.93597925
126,63.0,5.0,0.16104494,0.17579153,0.134248,0.17721938,0.9429506
127,63.5,5.0,0.15947656,0.17479278,0.13406177,0.17998159,0.9498673
128,64.0,5.0,0.15793784,0.17379332,0.13385361,0.18274176,0.9567302
129,64.5,5.0,0.15642808,0.17279336,0.13362417,0.18549883,0.9635385
130,65.0,5.0,0.15494679,0.17179337,0.13337433,0.18825227,0.9702926
131,65.5,5.0,0.15349324,0.17079347,0.13310473,0.1910016,0.97699255
132,66.0,5.0,0.15206665,0.16979393,0.13281602,0.19374627,0.9836384
133,66.5,5.0,0.15066688,0.16879492,0.1325091,0.19648567,0.9902303
134,67.0,5.0,0.1492929,0.1677968,0.13218474,0.19921918,0.99676824
135,67.5,5.0,0.1479443,0.16679958,0.13184333,0.20194651,1.0032525
136,68.0,5.0,0.14662048,0.16580375,0.13148595,0.20466694,1.0096835
137,68.5,5.0,0.14532089,0.16480906,0.13111275,0.20738025,1.016061
138,69.0,5.0,0.14404479,0.16381612,0.13072492,0.21008569,1.0223856
139,69.5,5.0,0.1427916,0.16282514,0.13032284,0.21278289,1.0286572
140,70.0,5.0,0.141561,0.16183595,0.12990709,0.21547166,1.0348762
141,70.5,5.0,0.1403521,0.16084921,0.12947854,0.21815109,1.0410429
142,71.0,5.0,0.1391646,0.15986466,0.12903754,0.22082129,1.0471576
143,71.5,5.0,0.13799796,0.15888274,0.1285848,0.22348161,1.0532202
144,72.0,5.0,0.13685131,0.15790361,0.12812096,0.22613166,1.0592314
145,72.5,5.0,0.13572441,0.15692736,0.12764633,0.22877106,1.0651911
146,73.0,5.0,0.13461673,0.15595414,0.12716168,0.23139954,1.0711
147,73.5,5.0,0.13352767,0.15498418,0.12666735,0.23401666,1.076958
148,74.0,5.0,0.13245668,0.15401772,0.12616415,0.23662215,1.0827656
149,74.5,5.0,0.1314035,0.15305477,0.12565242,0.23921555,1.0885226
150,75.0,5.0,0.1303674,0.15209556,0.12513268,0.24179667,1.0942297
151,75.5,5.0,0.12934808,0.15114035,0.12460531,0.24436516,1.0998873
152,76.0,5.0,0.12834501,0.15018916,0.12407099,0.24692073,1.1054955
153,76.5,5.0,0.1273578,0.14924209,0.12353006,0.24946302,1.1110542
154,77.0,5.0,0.12638591,0.14829947,0.12298304,0.25199175,1.1165643
155,77.5,5.0,0.12542915,0.14736135,0.122430325,0.25450677,1.1220257
156,78.0,5.0,0.12448686,0.14642787,0.12187232,0.25700766,1.1274385
157,78.5,5.0,0.12355882,0.14549911,0.12130949,0.2594941,1.1328032
158,79.0,5.0,0.122644424,0.14457533,0.12074222,0.26196617,1.1381203
159,79.5,5.0,0.12174356,0.14365661,0.12017092,0.26442316,1.1433896
160,80.0,5.0,0.12085584,0.14274304,0.119595945,0.2668652,1.1486115
161,80.5,5.0,0.11998083,0.14183483,0.119017765,0.269292,1.1537863
162,81.0,5.0,0.119118094,0.14093195,0.118436635,0.27170318,1.1589142
163,81.5,5.0,0.11826745,0.1400346,0.117852986,0.27409872,1.1639956
164,82.0,5.0,0.117428645,0.1391429,0.11726715,0.27647826,1.1690307
165,82.5,5.0,0.116601266,0.13825706,0.11667949,0.2788417,1.1740193
166,83.0,5.0,0.11578502,0.13737693,0.11609024,0.2811888,1.1789625
167,83.5,5.0,0.11497964,0.13650286,0.11549993,0.2835194,1.1838596
168,84.0,5.0,0.1141849,0.13563478,0.11490859,0.28583333,1.1887116
169,84.5,5.0,0.11340043,0.13477282,0.11431664,0.28813052,1.1935185
170,85.0,5.0,0.112626106,0.13391712,0.113724485,0.29041067,1.1982803
171,85.5,5.0,0.11186159,0.13306764,0.113132164,0.2926738,1.2029979
172,86.0,5.0,0.11110675,0.13222456,0.112540245,0.29491973,1.2076707
173,86.5,5.0,0.11036131,0.13138793,0.11194871,0.29714817,1.2122993
174,87.0,5.0,0.109625116,0.1305578,0.11135805,0.2993592,1.2168841
175,87.5,5.0,0.108897924,0.12973428,0.11076835,0.30155265,1.2214257
176,88.0,5.0,0.10817936,0.12891723,0.11017987,0.30372852,1.2259235
177,88.5,5.0,0.10746956,0.12810692,0.10959284,0.3058865,1.2303782
178,89.0,5.0,0.106768176,0.12730339,0.10900769,0.30802673,1.2347901
179,89.5,5.0,0.10607512,0.12650654,0.10842425,0.31014904,1.2391593
180,90.0,5.0,0.10539004,0.12571648,0.10784294,0.31225345,1.2434865
181,90.5,5.0,0.10471304,0.12493342,0.107264,0.31433982,1.2477715
182,91.0,5.0,0.10404354,0.12415695,0.10668744,0.31640798,1.2520144
183,91.5,5.0,0.10338199,0.12338756,0.10611355,0.31845823,1.256216
184,92.0,5.0,0.10272786,0.12262495,0.105542496,0.32049042,1.2603767
185,92.5,5.0,0.102081165,0.121869296,0.104974374,0.32250428,1.2644958
186,93.0,5.0,0.10144155,0.12112057,0.10440943,0.3245003,1.268575
187,93.5,5.0,0.100809306,0.12037893,0.103847906,0.32647786,1.2726129
188,94.0,5.0,0.10018414,0.119644076,0.103289664,0.32843748,1.2766113
189,94.5,5.0,0.099565566,0.11891627,0.10273495,0.3303789,1.2805699
190,95.0,5.0,0.09895402,0.118195295,0.102184,0.33230236,1.2844889
191,95.5,5.0,0.09834923,0.11748132,0.10163677,0.33420777,1.2883689
192,96.0,5.0,0.09775108,0.11677444,0.10109353,0.33609498,1.2922096
193,96.5,5.0,0.09715946,0.11607438,0.1005542,0.33796436,1.2960119
194,97.0,5.0,0.09657402,0.11538111,0.10001886,0.3398158,1.299776
195,97.5,5.0,0.09599528,0.11469497,0.099487856,0.34164935,1.3035021
196,98.0,5.0,0.095422745,0.11401549,0.098960996,0.34346515,1.3071904
197,98.5,5.0,0.09485637,0.11334297,0.09843856,0.3452633,1.3108416
198,99.0,5.0,0.09429616,0.11267741,0.09792057,0.3470437,1.3144555
199,99.5,5.0,0.09374192,0.112018466,0.09740697,0.34880662,1.318033
200,100.0,5.0,0.09319365,0.11136638,0.09689793,0.35055202,1.3215741
201,100.5,5.0,0.09265128,0.11072099,0.09639339,0.35228014,1.3250792
202,101.0,5.0,0.09211488,0.11008243,0.09589356,0.3539909,1.3285484
203,101.5,5.0,0.091584235,0.109450445,0.095398426,0.35568452,1.3319825
204,102.0,5.0,0.09105933,0.10882513,0.094907865,0.35736123,1.3353814
205,102.5,5.0,0.09053989,0.10820645,0.09442213,0.35902083,1.3387456
206,103.0,5.0,0.09002635,0.1075944,0.09394123,0.36066377,1.3420755
207,103.5,5.0,0.08951816,0.10698879,0.093465015,0.3622899,1.3453714
208,104.0,5.0,0.08901553,0.1063897,0.09299368,0.36389953,1.3486335
209,104.5,5.0,0.08851829,0.10579699,0.09252711,0.36549273,1.3518624
210,105.0,5.0,0.08802633,0.10521071,0.09206538,0.3670697,1.3550583
211,105.5,5.0,0.087539986,0.10463077,0.091608524,0.36863047,1.3582217
212,106.0,5.0,0.08705878,0.10405719,0.09115641,0.37017524,1.3613526
213,106.5,5.0,0.08658263,0.10348979,0.09070918,0.37170407,1.3644514
214,107.0,5.0,0.08611184,0.10292864,0.090266794,0.37321723,1.3675187
215,107.5,5.0,0.08564606,0.10237357,0.08982918,0.374715,1.370555
216,108.0,5.0,0.085185304,0.10182461,0.08939627,0.37619716,1.3735602
217,108.5,5.0,0.08472955,0.1012817,0.08896823,0.37766403,1.3765348
218,109.0,5.0,0.0842789,0.10074487,0.088545084,0.37911588,1.3794792
219,109.5,5.0,0.083833024,0.10021393,0.088126525,0.38055265,1.3823936
220,110.0,5.0,0.083391935,0.0996888,0.08771275,0.38197473,1.3852782
221,110.5,5.0,0.08295579,0.0991697,0.08730382,0.38338202,1.3881338
222,111.0,5.0,0.08252442,0.09865627,0.08689934,0.38477504,1.3909607
223,111.5,5.0,0.08209756,0.098148525,0.08649957,0.38615358,1.393759
224,112.0,5.0,0.081675485,0.097646445,0.08610426,0.38751793,1.3965287
225,112.5,5.0,0.08125806,0.09715003,0.08571383,0.3888682,1.3992708
