,t,Q,TG,DG,MG,G,ME
0,0.0,6.0,0.6191142,0.04000494,0.000394678,0.0,0.0
120,60.0,6.0,0.18007055,0.18612115,0.13600458,0.0,0.0
240,120.0,6.0,0.060201354,0.07951407,0.06703015,0.0,0.0
480,240.0,6.0,0.046023216,0.06173342,0.06307475,0.0,0.0
481,0.0,6.0,0.6191142,0.04000494,0.000394678,0.0,0.0
601,60.0,6.0,0.14564048,0.16421488,0.13684817,0.0,0.0
721,120.0,6.0,0.07030421,0.08552027,0.07419531,0.0,0.0
961,240.0,6.0,0.032127805,0.038306758,0.038267355,0.0,0.0
962,0.0,6.0,0.6191142,0.04000494,0.000394678,0.0,0.0
1082,60.0,6.0,0.1481688,0.17293832,0.14595102,0.0,0.0
1202,120.0,6.0,0.05921635,0.066578805,0.059201427,0.0,0.0
1442,240.0,6.0,0.03883872,0.048975118,0.052107293,0.0,0.0
1443,0.0,5.0,0.6191142,0.04000494,0.000394678,0.0,0.0
1563,60.0,5.0,0.24988212,0.26906744,0.17230584,0.0,0.0
1683,120.0,5.0,0.058090948,0.06746874,0.0613189,0.0,0.0
1923,240.0,5.0,0.03560727,0.045004122,0.04661061,0.0,0.0
2163,360.0,5.0,0.026827015,0.031076118,0.03296831,0.0,0.0
2164,0.0,5.0,0.6191142,0.04000494,0.000394678,0.0,0.0
2284,60.0,5.0,0.11065541,0.13744718,0.110872015,0.0,0.0
2404,120.0,5.0,0.093913056,0.11637437,0.10861756,0.0,0.0
2644,240.0,5.0,0.04047914,0.05121341,0.04835939,0.0,0.0
2884,360.0,5.0,0.028790452,0.032531004,0.03305358,0.0,0.0
2885,0.0,5.0,0.6191142,0.04000494,0.000394678,0.0,0.0
3005,60.0,5.0,0.11020044,0.1289255,0.109010026,0.0,0.0
3125,120.0,5.0,0.07350266,0.09107384,0.08129023,0.0,0.0
3365,240.0,5.0,0.042514052,0.050585836,0.048085462,0.0,0.0
3605,360.0,5.0,0.027939523,0.033832718,0.034566186,0.0,0.0
3606,0.0,4.0,0.6191142,0.04000494,0.000394678,0.0,0.0
3726,60.0,4.0,0.29857752,0.27732724,0.17287159,0.0,0.0
3846,120.0,4.0,0.06052574,0.076128304,0.062899,0.0,0.0
4086,240.0,4.0,0.050198685,0.06521109,0.05881818,0.0,0.0
4326,360.0,4.0,0.033787817,0.039725207,0.03763345,0.0,0.0
4806,600.0,4.0,0.022332447,0.025763998,0.027812444,0.5967818,1.7903453
4807,0.0,4.0,0.6191142,0.04000494,0.000394678,0.0,0.0
4927,60.0,4.0,0.18399267,0.1663173,0.12038387,0.0,0.0
5047,120.0,4.0,0.11004334,0.12513167,0.1051322,0.0,0.0
5287,240.0,4.0,0.05692406,0.06366228,0.058683015,0.0,0.0
5527,360.0,4.0,0.06320095,0.08688489,0.069861434,0.0,0.0
6007,600.0,4.0,0.019022658,0.021642871,0.015548829,0.6000916,1.8002747
6008,0.0,4.0,0.6191142,0.04000494,0.000394678,0.0,0.0
6128,60.0,4.0,0.1756655,0.16328846,0.12549247,0.0,0.0
6248,120.0,4.0,0.0967909,0.1069599,0.09338869,0.0,0.0
6488,240.0,4.0,0.070834465,0.07974309,0.07760918,0.0,0.0
6728,360.0,4.0,0.05589115,0.067167826,0.064301275,0.0,0.0
7208,600.0,4.0,0.020850558,0.025220938,0.020023782,0.5982637,1.794791
