,TG,TG_error,DG,DG_error,MG,MG_error,TG_PINN,DG_PINN,MG_PINN
0,1.0,0.0,0.06461641,0.0,0.0006374882,0.0,1.0018274,0.06757055,0.0002523564
1,1.0,0.0,0.06461641,0.0,0.0006374882,0.0,1.0013806,0.06412373,0.0031608401
2,1.0,0.0,0.06461641,0.0,0.0006374882,0.0,1.0003786,0.0665516,0.0004082201
3,0.35439646,0.11094197210769838,0.32677492,0.10496224877550403,0.2254554,0.04674744772271885,0.3295081,0.30624166,0.21535215
4,0.25344703,0.13004746995685823,0.28828287,0.12690164392487022,0.21115538,0.058177276129924876,0.28209293,0.29333687,0.21828544
5,0.2551386,0.03099594701594426,0.2817328,0.017813394032599225,0.22548544,0.008908224069601392,0.24290836,0.27514163,0.21363238
6,0.14394759,0.041405207414792054,0.16594669,0.04001318933422562,0.14074941,0.03520995695460266,0.14932774,0.18986021,0.15355489
7,0.121413596,0.029023865579863074,0.14801627,0.039504366438222166,0.13526136,0.03835233165609915,0.12565322,0.15428117,0.13101791
8,0.10214697,0.009912589569415787,0.12470136,0.015634686349358776,0.10791056,0.012113094130308637,0.106353834,0.12813905,0.11233612
9,0.095812805,0.01699896542822443,0.112319864,0.014328569678720126,0.105048135,0.017586768458454586,0.0839651,0.105162665,0.09862062
10,0.06385491,0.005732656159977629,0.07903946,0.005521117403579519,0.077021584,0.0015192812232529185,0.06542305,0.080050685,0.078366004
11,0.0629877,0.011224181927102712,0.08023038,0.01894458024721026,0.082617715,0.020079308544453667,0.055654168,0.06589546,0.065992236
12,0.0823111,0.02473543942847259,0.104330726,0.03825638819479439,0.09249567,0.027826130268237114,0.06580353,0.08105535,0.080210134
13,0.044987384,0.001590365858601704,0.05246196,0.0022273899556467395,0.054156985,0.0014519629087443098,0.048821118,0.059133314,0.06106584
14,0.033491753,0.0026778673878821934,0.039103072,0.0036166035495750156,0.03412674,0.010023957280622579,0.051106844,0.06281902,0.06469023
