,t,TG,DG,MG,G,ME,T
0,0.0,0.61911421,0.040004937,0.000394678,0.0,0.0,33.70915222167969
1,0.5,0.6144318153371805,0.044072394552587046,0.0010015568381388548,8.058272093601434e-06,0.005305390045145562,33.775859392539445
2,1.0,0.6096894012349009,0.048131728784046326,0.0016689840890478408,2.371089200497724e-05,0.010746536638156941,33.842527132252066
3,1.5,0.6048913313979384,0.05217752669731078,0.0023971090665651897,4.7857838185648384e-05,0.01632102534499811,33.90915632251964
4,2.0,0.6000418969374242,0.05620460686592224,0.003185902685779855,8.141851087374569e-05,0.022026374770103198,33.97574783312937
5,2.5,0.5951452563279563,0.06020807231063424,0.004035167515745469,0.00012532884566389751,0.027860100879116882,34.04230249812376
6,3.0,0.5902054405631519,0.06418330290897944,0.004944543146351095,0.00018053838151743304,0.03381971134623395,34.10882111818363
7,3.5,0.5852263079829271,0.06812599073022378,0.005913518489702115,0.0002480077971469592,0.03990275810106889,34.17530444156426
8,4.0,0.5802115793468797,0.07203210420178227,0.0069414353633526025,0.00032870608798533485,0.04610680019244349,34.241753178393274
9,4.5,0.5751647890608405,0.07589792418620332,0.008027503157479342,0.0004236085954768614,0.052429463287592605,34.308167979223846
10,5.0,0.5700893318695303,0.07971999759538154,0.00917080122193322,0.0005336943131549341,0.05886838997871279,34.37454945409849
11,5.5,0.5649884212031351,0.08349516579941707,0.01037029367095476,0.0006599443264930099,0.06542129312080563,34.44089815348528
12,6.0,0.5598651142625412,0.08722053610443829,0.011624834945301867,0.0008033396877186179,0.0720859320581979,34.50721457780971
13,6.5,0.5547223202628742,0.09089346792606837,0.012933177262289732,0.0009648595487676487,0.07886010809695079,34.573499179837725
14,7.0,0.5495627981315214,0.09451156750463233,0.01429397972146902,0.0011454796423771112,0.08574167287470172,34.63975236229271
15,7.5,0.544389165074681,0.09807267373284809,0.015705815466599764,0.0013461707258709782,0.09272852384366057,34.705974480238474
16,8.0,0.539203894779489,0.10157485225360002,0.0171671805451709,0.0015678974217398964,0.09981861260916153,34.77216583869628
17,8.5,0.5340093515482159,0.1050163619470149,0.01867649535300008,0.0018116161517689592,0.10700990810832196,34.83832670694272
18,9.0,0.5288077725496868,0.10839566228728416,0.020232115638134734,0.0020782745248941665,0.11430042413823616,34.90445730897778
19,9.5,0.5236012713285599,0.1117114036589765,0.021832339585639054,0.002368810426824352,0.12168822111072769,34.97055782352486
20,10.0,0.5183918708197235,0.11496239624552539,0.023475407913540997,0.002684150021210009,0.12917136913623745,35.03662839832862
21,10.5,0.5131814860696206,0.11814761706937958,0.025159514285680553,0.003025207575319205,0.13674797536669836,35.1026691406231
22,11.0,0.507971941879086,0.12126619104010475,0.02688280797424347,0.003392884106565692,0.14441616630828882,35.16868012428065
23,11.5,0.5027649706126224,0.12431738689189471,0.02864340061039099,0.003788066885091807,0.15217409576795218,35.234661387428915
24,12.0,0.4975622244349533,0.1273006029580139,0.030439369269985844,0.004211628337046823,0.16001993350912613,35.30061293721684
25,12.5,0.49236528232092514,0.13021535720840235,0.032268760324233516,0.004664425146438842,0.167951860296186,35.366534752197616
26,13.0,0.48717566133906154,0.13306127483028143,0.034129591777721444,0.005147297052935436,0.17596805654453074,35.43242678709465
27,13.5,0.48199480028816366,0.135838094622922,0.03601986265045106,0.005661067438463136,0.18406672923921366,35.49828896326964
28,14.0,0.4768240936365559,0.1385456417764502,0.03793754886171087,0.006206540725282898,0.19224606867572075,35.564121185403444
29,14.5,0.47166487921990163,0.1411838322307565,0.03988061090275745,0.006784502646584327,0.20050426897602447,35.62992333434714
