,t,Q,T
1443,0.0,5.0,33.549862
1444,0.5,5.0,33.597027
1445,1.0,5.0,33.64327
1446,1.5,5.0,33.68868
1447,2.0,5.0,33.733444
1448,2.5,5.0,33.777714
1449,3.0,5.0,33.821507
1450,3.5,5.0,33.86471
1451,4.0,5.0,33.907196
1452,4.5,5.0,33.94884
1453,5.0,5.0,33.9896
1454,5.5,5.0,34.029552
1455,6.0,5.0,34.068832
1456,6.5,5.0,34.1076
1457,7.0,5.0,34.146015
1458,7.5,5.0,34.184155
1459,8.0,5.0,34.222046
1460,8.5,5.0,34.259617
1461,9.0,5.0,34.29678
1462,9.5,5.0,34.333412
1463,10.0,5.0,34.36942
1464,10.5,5.0,34.404743
1465,11.0,5.0,34.439396
1466,11.5,5.0,34.47344
1467,12.0,5.0,34.506973
1468,12.5,5.0,34.540165
1469,13.0,5.0,34.573185
1470,13.5,5.0,34.60622
1471,14.0,5.0,34.639442
1472,14.5,5.0,34.673027
1473,15.0,5.0,34.707104
1474,15.5,5.0,34.741795
1475,16.0,5.0,34.77717
1476,16.5,5.0,34.813267
1477,17.0,5.0,34.85011
1478,17.5,5.0,34.88767
1479,18.0,5.0,34.925877
1480,18.5,5.0,34.96466
1481,19.0,5.0,35.003902
1482,19.5,5.0,35.043488
1483,20.0,5.0,35.083294
1484,20.5,5.0,35.123203
1485,21.0,5.0,35.163094
1486,21.5,5.0,35.202877
1487,22.0,5.0,35.242474
1488,22.5,5.0,35.281837
1489,23.0,5.0,35.320927
1490,23.5,5.0,35.359737
1491,24.0,5.0,35.39827
1492,24.5,5.0,35.436543
1493,25.0,5.0,35.474594
1494,25.5,5.0,35.51247
1495,26.0,5.0,35.55021
1496,26.5,5.0,35.587875
1497,27.0,5.0,35.625523
1498,27.5,5.0,35.6632
1499,28.0,5.0,35.700977
1500,28.5,5.0,35.738907
1501,29.0,5.0,35.777035
1502,29.5,5.0,35.815422
1503,30.0,5.0,35.854107
1504,30.5,5.0,35.89312
1505,31.0,5.0,35.932507
1506,31.5,5.0,35.972294
1507,32.0,5.0,36.012493
1508,32.5,5.0,36.053116
1509,33.0,5.0,36.094166
1510,33.5,5.0,36.13565
1511,34.0,5.0,36.17755
1512,34.5,5.0,36.219856
1513,35.0,5.0,36.26254
1514,35.5,5.0,36.305588
1515,36.0,5.0,36.34896
1516,36.5,5.0,36.39264
1517,37.0,5.0,36.436596
1518,37.5,5.0,36.480804
1519,38.0,5.0,36.525234
1520,38.5,5.0,36.569866
1521,39.0,5.0,36.614685
1522,39.5,5.0,36.65967
1523,40.0,5.0,36.70482
1524,40.5,5.0,36.75012
1525,41.0,5.0,36.795567
1526,41.5,5.0,36.841156
1527,42.0,5.0,36.88689
1528,42.5,5.0,36.932774
1529,43.0,5.0,36.9788
1530,43.5,5.0,37.024982
1531,44.0,5.0,37.071323
1532,44.5,5.0,37.11781
1533,45.0,5.0,37.16445
1534,45.5,5.0,37.211243
1535,46.0,5.0,37.258183
1536,46.5,5.0,37.305264
1537,47.0,5.0,37.352478
1538,47.5,5.0,37.39982
1539,48.0,5.0,37.44727
1540,48.5,5.0,37.49483
1541,49.0,5.0,37.54248
1542,49.5,5.0,37.590206
1543,50.0,5.0,37.637997
1544,50.5,5.0,37.685833
1545,51.0,5.0,37.733704
1546,51.5,5.0,37.781597
1547,52.0,5.0,37.829494
1548,52.5,5.0,37.877384
1549,53.0,5.0,37.92526
1550,53.5,5.0,37.9731
1551,54.0,5.0,38.020897
1552,54.5,5.0,38.06865
1553,55.0,5.0,38.11634
1554,55.5,5.0,38.163967
1555,56.0,5.0,38.211525
1556,56.5,5.0,38.259003
1557,57.0,5.0,38.306404
1558,57.5,5.0,38.35373
1559,58.0,5.0,38.400967
1560,58.5,5.0,38.44812
1561,59.0,5.0,38.495197
1562,59.5,5.0,38.54219
1563,60.0,5.0,38.589108
1564,60.5,5.0,38.635944
1565,61.0,5.0,38.682716
1566,61.5,5.0,38.729416
