,t,Q,T
3606,0.0,4.0,33.0
3608,1.0,4.0,33.0
3610,2.0,4.0,33.0
3612,3.0,4.0,33.0
3614,4.0,4.0,33.0
3616,5.0,4.0,33.0
3618,6.0,4.0,33.0
3620,7.0,4.0,33.0
3622,8.0,4.0,33.0
3624,9.0,4.0,34.0
3626,10.0,4.0,33.0
3628,11.0,4.0,33.0
3630,12.0,4.0,34.0
3632,13.0,4.0,34.0
3634,14.0,4.0,34.0
3636,15.0,4.0,34.0
3638,16.0,4.0,34.0
3640,17.0,4.0,34.0
3642,18.0,4.0,34.0
3644,19.0,4.0,34.0
3646,20.0,4.0,34.0
3648,21.0,4.0,34.0
3650,22.0,4.0,34.0
3652,23.0,4.0,34.0
3654,24.0,4.0,34.0
3656,25.0,4.0,34.0
3658,26.0,4.0,34.0
3660,27.0,4.0,34.0
3662,28.0,4.0,35.0
3664,29.0,4.0,34.0
3666,30.0,4.0,34.0
3668,31.0,4.0,35.0
3670,32.0,4.0,35.0
3672,33.0,4.0,34.0
3674,34.0,4.0,35.0
3676,35.0,4.0,35.0
3678,36.0,4.0,35.0
3680,37.0,4.0,35.0
3682,38.0,4.0,35.0
3684,39.0,4.0,35.0
3686,40.0,4.0,35.0
3688,41.0,4.0,35.0
3690,42.0,4.0,35.0
3692,43.0,4.0,35.0
3694,44.0,4.0,35.0
3696,45.0,4.0,35.0
3698,46.0,4.0,35.0
3700,47.0,4.0,35.0
3702,48.0,4.0,35.0
3704,49.0,4.0,35.0
3706,50.0,4.0,36.0
3708,51.0,4.0,36.0
3710,52.0,4.0,35.0
3712,53.0,4.0,35.0
3714,54.0,4.0,36.0
3716,55.0,4.0,36.0
3718,56.0,4.0,36.0
3720,57.0,4.0,36.0
3722,58.0,4.0,36.0
3724,59.0,4.0,36.0
3726,60.0,4.0,36.0
3728,61.0,4.0,36.0
3730,62.0,4.0,36.0
3732,63.0,4.0,36.0
3734,64.0,4.0,36.0
3736,65.0,4.0,36.0
3738,66.0,4.0,37.0
3740,67.0,4.0,36.0
3742,68.0,4.0,37.0
3744,69.0,4.0,37.0
3746,70.0,4.0,36.0
3748,71.0,4.0,37.0
3750,72.0,4.0,36.0
3752,73.0,4.0,37.0
3754,74.0,4.0,37.0
3756,75.0,4.0,37.0
3758,76.0,4.0,37.0
3760,77.0,4.0,37.0
3762,78.0,4.0,37.0
3764,79.0,4.0,37.0
3766,80.0,4.0,37.0
3768,81.0,4.0,37.0
3770,82.0,4.0,37.0
3772,83.0,4.0,37.0
3774,84.0,4.0,38.0
3776,85.0,4.0,38.0
3778,86.0,4.0,38.0
3780,87.0,4.0,38.0
3782,88.0,4.0,37.0
3784,89.0,4.0,38.0
3786,90.0,4.0,38.0
3788,91.0,4.0,38.0
3790,92.0,4.0,38.0
3792,93.0,4.0,38.0
3794,94.0,4.0,38.0
3796,95.0,4.0,38.0
3798,96.0,4.0,38.0
3800,97.0,4.0,38.0
3802,98.0,4.0,38.0
3804,99.0,4.0,39.0
3806,100.0,4.0,39.0
3808,101.0,4.0,38.0
3810,102.0,4.0,38.0
3812,103.0,4.0,38.0
3814,104.0,4.0,39.0
3816,105.0,4.0,39.0
3818,106.0,4.0,38.0
3820,107.0,4.0,38.0
3822,108.0,4.0,39.0
3824,109.0,4.0,39.0
3826,110.0,4.0,39.0
3828,111.0,4.0,39.0
3830,112.0,4.0,39.0
3832,113.0,4.0,39.0
3834,114.0,4.0,39.0
3836,115.0,4.0,39.0
3838,116.0,4.0,39.0
3840,117.0,4.0,39.0
3842,118.0,4.0,39.0
3844,119.0,4.0,39.0
3846,120.0,4.0,40.0
3848,121.0,4.0,40.0
3850,122.0,4.0,40.0
3852,123.0,4.0,40.0
3854,124.0,4.0,40.0
3856,125.0,4.0,40.0
3858,126.0,4.0,40.0
3860,127.0,4.0,40.0
3862,128.0,4.0,40.0
3864,129.0,4.0,40.0
3866,130.0,4.0,40.0
3868,131.0,4.0,40.0
3870,132.0,4.0,40.0
3872,133.0,4.0,40.0
3874,134.0,4.0,40.0
3876,135.0,4.0,40.0
3878,136.0,4.0,40.0
3880,137.0,4.0,41.0
3882,138.0,4.0,40.0
3884,139.0,4.0,40.0
3886,140.0,4.0,41.0
3888,141.0,4.0,41.0
3890,142.0,4.0,41.0
3892,143.0,4.0,41.0
3894,144.0,4.0,41.0
3896,145.0,4.0,41.0
3898,146.0,4.0,41.0
3900,147.0,4.0,41.0
3902,148.0,4.0,41.0
3904,149.0,4.0,41.0
3906,150.0,4.0,42.0
3908,151.0,4.0,41.0
3910,152.0,4.0,41.0
3912,153.0,4.0,41.0
3914,154.0,4.0,41.0
3916,155.0,4.0,41.0
3918,156.0,4.0,42.0
3920,157.0,4.0,41.0
3922,158.0,4.0,42.0
3924,159.0,4.0,42.0
3926,160.0,4.0,42.0
3928,161.0,4.0,42.0
3930,162.0,4.0,42.0
3932,163.0,4.0,42.0
3934,164.0,4.0,42.0
3936,165.0,4.0,42.0
3938,166.0,4.0,42.0
3940,167.0,4.0,42.0
3942,168.0,4.0,42.0
3944,169.0,4.0,43.0
3946,170.0,4.0,42.0
3948,171.0,4.0,43.0
3950,172.0,4.0,43.0
3952,173.0,4.0,42.0
3954,174.0,4.0,43.0
3956,175.0,4.0,42.0
3958,176.0,4.0,42.0
3960,177.0,4.0,43.0
3962,178.0,4.0,43.0
3964,179.0,4.0,43.0
3966,180.0,4.0,43.0
3968,181.0,4.0,43.0
3970,182.0,4.0,43.0
3972,183.0,4.0,43.0
3974,184.0,4.0,43.0
3976,185.0,4.0,43.0
3978,186.0,4.0,43.0
3980,187.0,4.0,43.0
3982,188.0,4.0,44.0
3984,189.0,4.0,43.0
3986,190.0,4.0,43.0
3988,191.0,4.0,43.0
3990,192.0,4.0,44.0
3992,193.0,4.0,44.0
3994,194.0,4.0,44.0
3996,195.0,4.0,43.0
3998,196.0,4.0,43.0
4000,197.0,4.0,44.0
4002,198.0,4.0,44.0
4004,199.0,4.0,44.0
4006,200.0,4.0,44.0
4008,201.0,4.0,44.0
4010,202.0,4.0,44.0
4012,203.0,4.0,43.0
4014,204.0,4.0,44.0
4016,205.0,4.0,44.0
4018,206.0,4.0,44.0
4020,207.0,4.0,44.0
4022,208.0,4.0,44.0
4024,209.0,4.0,44.0
4026,210.0,4.0,45.0
4028,211.0,4.0,44.0
4030,212.0,4.0,45.0
4032,213.0,4.0,45.0
4034,214.0,4.0,45.0
4036,215.0,4.0,45.0
4038,216.0,4.0,45.0
4040,217.0,4.0,45.0
4042,218.0,4.0,45.0
4044,219.0,4.0,45.0
4046,220.0,4.0,45.0
4048,221.0,4.0,45.0
4050,222.0,4.0,45.0
4052,223.0,4.0,45.0
4054,224.0,4.0,45.0
4056,225.0,4.0,46.0
4058,226.0,4.0,45.0
4060,227.0,4.0,46.0
4062,228.0,4.0,45.0
4064,229.0,4.0,45.0
4066,230.0,4.0,45.0
4068,231.0,4.0,46.0
4070,232.0,4.0,45.0
4072,233.0,4.0,46.0
4074,234.0,4.0,46.0
4076,235.0,4.0,46.0
4078,236.0,4.0,46.0
4080,237.0,4.0,46.0
4082,238.0,4.0,46.0
4084,239.0,4.0,46.0
4086,240.0,4.0,46.0
4088,241.0,4.0,46.0
4090,242.0,4.0,46.0
4092,243.0,4.0,46.0
4094,244.0,4.0,46.0
4096,245.0,4.0,46.0
4098,246.0,4.0,46.0
4100,247.0,4.0,46.0
4102,248.0,4.0,47.0
4104,249.0,4.0,46.0
4106,250.0,4.0,47.0
4108,251.0,4.0,47.0
4110,252.0,4.0,47.0
4112,253.0,4.0,47.0
4114,254.0,4.0,47.0
4116,255.0,4.0,47.0
4118,256.0,4.0,47.0
4120,257.0,4.0,47.0
4122,258.0,4.0,47.0
4124,259.0,4.0,47.0
4126,260.0,4.0,47.0
4128,261.0,4.0,47.0
4130,262.0,4.0,47.0
4132,263.0,4.0,47.0
4134,264.0,4.0,47.0
4136,265.0,4.0,47.0
4138,266.0,4.0,47.0
4140,267.0,4.0,47.0
4142,268.0,4.0,48.0
4144,269.0,4.0,47.0
4146,270.0,4.0,48.0
4148,271.0,4.0,47.0
4150,272.0,4.0,48.0
4152,273.0,4.0,48.0
4154,274.0,4.0,48.0
4156,275.0,4.0,48.0
4158,276.0,4.0,48.0
4160,277.0,4.0,48.0
4162,278.0,4.0,48.0
4164,279.0,4.0,48.0
4166,280.0,4.0,48.0
4168,281.0,4.0,48.0
4170,282.0,4.0,48.0
4172,283.0,4.0,48.0
4174,284.0,4.0,48.0
4176,285.0,4.0,48.0
4178,286.0,4.0,48.0
4180,287.0,4.0,49.0
4182,288.0,4.0,48.0
4184,289.0,4.0,48.0
4186,290.0,4.0,48.0
4188,291.0,4.0,48.0
4190,292.0,4.0,48.0
4192,293.0,4.0,49.0
4194,294.0,4.0,49.0
4196,295.0,4.0,49.0
4198,296.0,4.0,49.0
4200,297.0,4.0,49.0
4202,298.0,4.0,48.0
4204,299.0,4.0,49.0
4206,300.0,4.0,49.0
4208,301.0,4.0,48.0
4210,302.0,4.0,49.0
4212,303.0,4.0,49.0
4214,304.0,4.0,49.0
4216,305.0,4.0,49.0
4218,306.0,4.0,49.0
4220,307.0,4.0,49.0
4222,308.0,4.0,50.0
4224,309.0,4.0,49.0
4226,310.0,4.0,49.0
4228,311.0,4.0,49.0
4230,312.0,4.0,49.0
4232,313.0,4.0,49.0
4234,314.0,4.0,49.0
4236,315.0,4.0,49.0
4238,316.0,4.0,49.0
4240,317.0,4.0,50.0
4242,318.0,4.0,50.0
4244,319.0,4.0,50.0
4246,320.0,4.0,50.0
4248,321.0,4.0,50.0
4250,322.0,4.0,50.0
4252,323.0,4.0,50.0
4254,324.0,4.0,50.0
4256,325.0,4.0,50.0
4258,326.0,4.0,50.0
4260,327.0,4.0,50.0
4262,328.0,4.0,50.0
4264,329.0,4.0,50.0
4266,330.0,4.0,50.0
4268,331.0,4.0,50.0
4270,332.0,4.0,50.0
4272,333.0,4.0,50.0
4274,334.0,4.0,50.0
4276,335.0,4.0,50.0
4278,336.0,4.0,50.0
4280,337.0,4.0,50.0
4282,338.0,4.0,50.0
4284,339.0,4.0,51.0
4286,340.0,4.0,50.0
4288,341.0,4.0,50.0
4290,342.0,4.0,50.0
4292,343.0,4.0,50.0
4294,344.0,4.0,51.0
4296,345.0,4.0,51.0
4298,346.0,4.0,50.0
4300,347.0,4.0,51.0
4302,348.0,4.0,51.0
4304,349.0,4.0,50.0
4306,350.0,4.0,51.0
4308,351.0,4.0,50.0
4310,352.0,4.0,51.0
4312,353.0,4.0,51.0
4314,354.0,4.0,51.0
4316,355.0,4.0,51.0
4318,356.0,4.0,51.0
4320,357.0,4.0,51.0
4322,358.0,4.0,51.0
4324,359.0,4.0,51.0
4326,360.0,4.0,51.0
4328,361.0,4.0,51.0
4330,362.0,4.0,51.0
4332,363.0,4.0,51.0
4334,364.0,4.0,51.0
4336,365.0,4.0,51.0
4338,366.0,4.0,51.0
4340,367.0,4.0,52.0
4342,368.0,4.0,52.0
4344,369.0,4.0,51.0
4346,370.0,4.0,52.0
4348,371.0,4.0,51.0
4350,372.0,4.0,51.0
4352,373.0,4.0,51.0
4354,374.0,4.0,52.0
4356,375.0,4.0,51.0
4358,376.0,4.0,52.0
4360,377.0,4.0,52.0
4362,378.0,4.0,51.0
4364,379.0,4.0,52.0
4366,380.0,4.0,52.0
4368,381.0,4.0,52.0
4370,382.0,4.0,52.0
4372,383.0,4.0,52.0
4374,384.0,4.0,52.0
4376,385.0,4.0,52.0
4378,386.0,4.0,52.0
4380,387.0,4.0,52.0
4382,388.0,4.0,52.0
4384,389.0,4.0,52.0
4386,390.0,4.0,52.0
4388,391.0,4.0,52.0
4390,392.0,4.0,52.0
4392,393.0,4.0,52.0
4394,394.0,4.0,52.0
4396,395.0,4.0,52.0
4398,396.0,4.0,52.0
4400,397.0,4.0,53.0
4402,398.0,4.0,53.0
4404,399.0,4.0,52.0
4406,400.0,4.0,52.0
4408,401.0,4.0,52.0
4410,402.0,4.0,52.0
4412,403.0,4.0,52.0
4414,404.0,4.0,53.0
4416,405.0,4.0,52.0
4418,406.0,4.0,52.0
4420,407.0,4.0,53.0
4422,408.0,4.0,53.0
4424,409.0,4.0,53.0
4426,410.0,4.0,53.0
4428,411.0,4.0,52.0
4430,412.0,4.0,53.0
4432,413.0,4.0,53.0
4434,414.0,4.0,52.0
4436,415.0,4.0,53.0
